1:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleInsets:37:1902273207559319996L |==> 0L
405:AOR:/(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@calculateLeftOutset:435:width / (1 - this.left - this.right) |==> width * (1 - this.left - this.right)
406:AOR:/(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@calculateLeftOutset:435:width / (1 - this.left - this.right) |==> width + (1 - this.left - this.right)
407:AOR:/(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@calculateLeftOutset:435:width / (1 - this.left - this.right) |==> width - (1 - this.left - this.right)
408:AOR:*(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@calculateLeftOutset:435:(width / (1 - this.left - this.right)) * this.left |==> (width / (1 - this.left - this.right)) % this.left
409:AOR:*(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@calculateLeftOutset:435:(width / (1 - this.left - this.right)) * this.left |==> (width / (1 - this.left - this.right)) + this.left
410:AOR:*(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@calculateLeftOutset:435:(width / (1 - this.left - this.right)) * this.left |==> (width / (1 - this.left - this.right)) - this.left
411:AOR:*(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@calculateLeftOutset:435:(width / (1 - this.left - this.right)) * this.left |==> (width / (1 - this.left - this.right)) / this.left
412:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@calculateLeftOutset:435:result = (width / (1 - this.left - this.right)) * this.left |==> <NO-OP>
413:STD:CALL:<NO-OP>:org.jfree.chart.util.RectangleInsets@calculateLeftOutset:437:result |==> 0.0
414:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleInsets@calculateRightInset:448:this.right |==> 0.0
415:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleInsets@calculateRightInset:449:this.unitType == UnitType.RELATIVE |==> false
416:AOR:*(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@calculateRightInset:450:this.right * width |==> this.right % width
417:AOR:*(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@calculateRightInset:450:this.right * width |==> this.right + width
418:AOR:*(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@calculateRightInset:450:this.right * width |==> this.right - width
419:AOR:*(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@calculateRightInset:450:this.right * width |==> this.right / width
420:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@calculateRightInset:450:result = (this.right * width) |==> <NO-OP>
421:STD:CALL:<NO-OP>:org.jfree.chart.util.RectangleInsets@calculateRightInset:452:result |==> 0.0
422:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleInsets@calculateRightOutset:463:this.right |==> 0.0
423:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleInsets@calculateRightOutset:464:this.unitType == UnitType.RELATIVE |==> false
424:LVR:POS:0:org.jfree.chart.util.RectangleInsets@calculateRightOutset:465:1 |==> 0
425:LVR:POS:NEG:org.jfree.chart.util.RectangleInsets@calculateRightOutset:465:1 |==> -1
426:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@calculateRightOutset:465:1 - this.left |==> 1 % this.left
427:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@calculateRightOutset:465:1 - this.left |==> 1 * this.left
428:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@calculateRightOutset:465:1 - this.left |==> 1 + this.left
429:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@calculateRightOutset:465:1 - this.left |==> 1 / this.left
430:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@calculateRightOutset:465:1 - this.left - this.right |==> (1 - this.left) % this.right
431:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@calculateRightOutset:465:1 - this.left - this.right |==> (1 - this.left) * this.right
432:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@calculateRightOutset:465:1 - this.left - this.right |==> 1 - this.left + this.right
433:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@calculateRightOutset:465:1 - this.left - this.right |==> (1 - this.left) / this.right
434:AOR:/(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@calculateRightOutset:465:width / (1 - this.left - this.right) |==> width % (1 - this.left - this.right)
435:AOR:/(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@calculateRightOutset:465:width / (1 - this.left - this.right) |==> width * (1 - this.left - this.right)
436:AOR:/(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@calculateRightOutset:465:width / (1 - this.left - this.right) |==> width + (1 - this.left - this.right)
437:AOR:/(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@calculateRightOutset:465:width / (1 - this.left - this.right) |==> width - (1 - this.left - this.right)
438:AOR:*(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@calculateRightOutset:465:(width / (1 - this.left - this.right)) * this.right |==> (width / (1 - this.left - this.right)) % this.right
439:AOR:*(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@calculateRightOutset:465:(width / (1 - this.left - this.right)) * this.right |==> (width / (1 - this.left - this.right)) + this.right
440:AOR:*(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@calculateRightOutset:465:(width / (1 - this.left - this.right)) * this.right |==> (width / (1 - this.left - this.right)) - this.right
441:AOR:*(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@calculateRightOutset:465:(width / (1 - this.left - this.right)) * this.right |==> (width / (1 - this.left - this.right)) / this.right
442:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@calculateRightOutset:465:result = (width / (1 - this.left - this.right)) * this.right |==> <NO-OP>
443:STD:CALL:<NO-OP>:org.jfree.chart.util.RectangleInsets@calculateRightOutset:467:result |==> 0.0
444:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@trimWidth:478:width - calculateLeftInset(width) |==> width % calculateLeftInset(width)
445:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@trimWidth:478:width - calculateLeftInset(width) |==> width * calculateLeftInset(width)
446:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@trimWidth:478:width - calculateLeftInset(width) |==> width + calculateLeftInset(width)
447:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@trimWidth:478:width - calculateLeftInset(width) |==> width / calculateLeftInset(width)
448:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@trimWidth:478:width - calculateLeftInset(width) - calculateRightInset(width) |==> (width - calculateLeftInset(width)) % calculateRightInset(width)
449:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@trimWidth:478:width - calculateLeftInset(width) - calculateRightInset(width) |==> (width - calculateLeftInset(width)) * calculateRightInset(width)
450:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@trimWidth:478:width - calculateLeftInset(width) - calculateRightInset(width) |==> width - calculateLeftInset(width) + calculateRightInset(width)
451:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@trimWidth:478:width - calculateLeftInset(width) - calculateRightInset(width) |==> (width - calculateLeftInset(width)) / calculateRightInset(width)
452:AOR:+(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@extendWidth:489:width + calculateLeftOutset(width) |==> width % calculateLeftOutset(width)
453:AOR:+(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@extendWidth:489:width + calculateLeftOutset(width) |==> width * calculateLeftOutset(width)
454:AOR:+(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@extendWidth:489:width + calculateLeftOutset(width) |==> width - calculateLeftOutset(width)
455:AOR:+(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@extendWidth:489:width + calculateLeftOutset(width) |==> width / calculateLeftOutset(width)
456:AOR:+(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@extendWidth:489:width + calculateLeftOutset(width) + calculateRightOutset(width) |==> (width + calculateLeftOutset(width)) % calculateRightOutset(width)
457:AOR:+(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@extendWidth:489:width + calculateLeftOutset(width) + calculateRightOutset(width) |==> (width + calculateLeftOutset(width)) * calculateRightOutset(width)
458:AOR:+(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@extendWidth:489:width + calculateLeftOutset(width) + calculateRightOutset(width) |==> width + calculateLeftOutset(width) - calculateRightOutset(width)
459:AOR:+(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@extendWidth:489:width + calculateLeftOutset(width) + calculateRightOutset(width) |==> (width + calculateLeftOutset(width)) / calculateRightOutset(width)
460:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@trimHeight:500:height - calculateTopInset(height) |==> height % calculateTopInset(height)
461:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@trimHeight:500:height - calculateTopInset(height) |==> height * calculateTopInset(height)
462:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@trimHeight:500:height - calculateTopInset(height) |==> height + calculateTopInset(height)
463:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@trimHeight:500:height - calculateTopInset(height) |==> height / calculateTopInset(height)
464:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@trimHeight:500:height - calculateTopInset(height) - calculateBottomInset(height) |==> (height - calculateTopInset(height)) % calculateBottomInset(height)
465:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@trimHeight:500:height - calculateTopInset(height) - calculateBottomInset(height) |==> (height - calculateTopInset(height)) * calculateBottomInset(height)
466:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@trimHeight:500:height - calculateTopInset(height) - calculateBottomInset(height) |==> height - calculateTopInset(height) + calculateBottomInset(height)
467:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@trimHeight:500:height - calculateTopInset(height) - calculateBottomInset(height) |==> (height - calculateTopInset(height)) / calculateBottomInset(height)
468:AOR:+(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@extendHeight:512:height + calculateTopOutset(height) |==> height % calculateTopOutset(height)
469:AOR:+(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@extendHeight:512:height + calculateTopOutset(height) |==> height * calculateTopOutset(height)
470:AOR:+(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@extendHeight:512:height + calculateTopOutset(height) |==> height - calculateTopOutset(height)
471:AOR:+(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@extendHeight:512:height + calculateTopOutset(height) |==> height / calculateTopOutset(height)
472:AOR:+(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@extendHeight:512:height + calculateTopOutset(height) + calculateBottomOutset(height) |==> (height + calculateTopOutset(height)) % calculateBottomOutset(height)
473:AOR:+(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@extendHeight:512:height + calculateTopOutset(height) + calculateBottomOutset(height) |==> (height + calculateTopOutset(height)) * calculateBottomOutset(height)
474:AOR:+(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@extendHeight:512:height + calculateTopOutset(height) + calculateBottomOutset(height) |==> height + calculateTopOutset(height) - calculateBottomOutset(height)
475:AOR:+(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@extendHeight:512:height + calculateTopOutset(height) + calculateBottomOutset(height) |==> (height + calculateTopOutset(height)) / calculateBottomOutset(height)
476:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleInsets@trim:522:area.getWidth() |==> 0.0
477:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleInsets@trim:523:area.getHeight() |==> 0.0
478:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleInsets@trim:524:calculateLeftInset(w) |==> 0.0
479:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleInsets@trim:525:calculateRightInset(w) |==> 0.0
480:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleInsets@trim:526:calculateTopInset(h) |==> 0.0
481:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleInsets@trim:527:calculateBottomInset(h) |==> 0.0
482:AOR:+(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@trim:528:area.getX() + l |==> area.getX() % l
483:AOR:+(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@trim:528:area.getX() + l |==> area.getX() * l
484:AOR:+(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@trim:528:area.getX() + l |==> area.getX() - l
485:AOR:+(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@trim:528:area.getX() + l |==> area.getX() / l
486:AOR:+(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@trim:528:area.getY() + t |==> area.getY() % t
487:AOR:+(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@trim:528:area.getY() + t |==> area.getY() * t
488:AOR:+(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@trim:528:area.getY() + t |==> area.getY() - t
489:AOR:+(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@trim:528:area.getY() + t |==> area.getY() / t
490:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@trim:528:w - l |==> w % l
491:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@trim:528:w - l |==> w * l
492:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@trim:528:w - l |==> w + l
493:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@trim:528:w - l |==> w / l
494:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@trim:528:w - l - r |==> (w - l) % r
495:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@trim:528:w - l - r |==> (w - l) * r
496:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@trim:528:w - l - r |==> w - l + r
497:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@trim:528:w - l - r |==> (w - l) / r
498:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@trim:528:h - t |==> h % t
499:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@trim:528:h - t |==> h * t
500:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@trim:528:h - t |==> h + t
501:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@trim:528:h - t |==> h / t
502:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@trim:528:h - t - b |==> (h - t) % b
503:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@trim:528:h - t - b |==> (h - t) * b
504:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@trim:528:h - t - b |==> h - t + b
505:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@trim:528:h - t - b |==> (h - t) / b
506:STD:<CALL>:<NO-OP>:org.jfree.chart.util.RectangleInsets@trim:528:area.setRect(area.getX() + l, area.getY() + t, w - l - r, h - t - b) |==> <NO-OP>
507:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.event.ChartChangeEvent@<init>:96:this.chart = chart |==> <NO-OP>
508:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.event.ChartChangeEvent@<init>:97:this.type = type |==> <NO-OP>
509:STD:CALL:<NO-OP>:org.jfree.chart.event.ChartChangeEvent@getChart:106:this.chart |==> null
510:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.event.ChartChangeEvent@setChart:115:this.chart = chart |==> <NO-OP>
511:STD:CALL:<NO-OP>:org.jfree.chart.event.ChartChangeEvent@getType:124:this.type |==> null
512:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.event.ChartChangeEvent@setType:133:this.type = type |==> <NO-OP>
513:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.UnitType:55:6531925392288519884L |==> 0L
514:LVR:<CLASS>:<NULL>:org.jfree.chart.util.UnitType:58:"UnitType.ABSOLUTE" |==> null
515:LVR:<CLASS>:<NULL>:org.jfree.chart.util.UnitType:61:"UnitType.RELATIVE" |==> null
516:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.UnitType@<init>:72:this.name = name |==> <NO-OP>
517:STD:CALL:<NO-OP>:org.jfree.chart.util.UnitType@toString:81:this.name |==> null
518:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.UnitType@equals:93:obj == this |==> false
519:LVR:TRUE:FALSE:org.jfree.chart.util.UnitType@equals:94:true |==> false
520:LVR:FALSE:TRUE:org.jfree.chart.util.UnitType@equals:97:false |==> true
521:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.UnitType@equals:99:(UnitType)obj |==> null
522:COR:this.name.equals(that.name):TRUE:org.jfree.chart.util.UnitType@equals:100:this.name.equals(that.name) |==> false
523:COR:this.name.equals(that.name):FALSE:org.jfree.chart.util.UnitType@equals:100:this.name.equals(that.name) |==> true
524:LVR:FALSE:TRUE:org.jfree.chart.util.UnitType@equals:101:false |==> true
525:LVR:TRUE:FALSE:org.jfree.chart.util.UnitType@equals:103:true |==> false
526:STD:CALL:<NO-OP>:org.jfree.chart.util.UnitType@hashCode:112:this.name.hashCode() |==> 0
527:COR:this.equals(UnitType.ABSOLUTE):TRUE:org.jfree.chart.util.UnitType@readResolve:123:this.equals(UnitType.ABSOLUTE) |==> false
528:COR:this.equals(UnitType.ABSOLUTE):FALSE:org.jfree.chart.util.UnitType@readResolve:123:this.equals(UnitType.ABSOLUTE) |==> true
529:STD:CALL:<NO-OP>:org.jfree.chart.util.UnitType@readResolve:124:UnitType.ABSOLUTE |==> null
530:COR:this.equals(UnitType.RELATIVE):TRUE:org.jfree.chart.util.UnitType@readResolve:126:this.equals(UnitType.RELATIVE) |==> false
531:COR:this.equals(UnitType.RELATIVE):FALSE:org.jfree.chart.util.UnitType@readResolve:126:this.equals(UnitType.RELATIVE) |==> true
532:STD:CALL:<NO-OP>:org.jfree.chart.util.UnitType@readResolve:127:UnitType.RELATIVE |==> null
533:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.LengthAdjustmentType:56:-6097408511380545010L |==> 0L
534:LVR:<CLASS>:<NULL>:org.jfree.chart.util.LengthAdjustmentType:60:"NO_CHANGE" |==> null
535:LVR:<CLASS>:<NULL>:org.jfree.chart.util.LengthAdjustmentType:64:"EXPAND" |==> null
536:LVR:<CLASS>:<NULL>:org.jfree.chart.util.LengthAdjustmentType:68:"CONTRACT" |==> null
537:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.LengthAdjustmentType@<init>:79:this.name = name |==> <NO-OP>
538:STD:CALL:<NO-OP>:org.jfree.chart.util.LengthAdjustmentType@toString:88:this.name |==> null
539:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.LengthAdjustmentType@equals:100:obj == this |==> false
540:LVR:TRUE:FALSE:org.jfree.chart.util.LengthAdjustmentType@equals:101:true |==> false
541:LVR:FALSE:TRUE:org.jfree.chart.util.LengthAdjustmentType@equals:104:false |==> true
542:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.LengthAdjustmentType@equals:106:(LengthAdjustmentType)obj |==> null
543:COR:this.name.equals(that.name):TRUE:org.jfree.chart.util.LengthAdjustmentType@equals:107:this.name.equals(that.name) |==> false
544:COR:this.name.equals(that.name):FALSE:org.jfree.chart.util.LengthAdjustmentType@equals:107:this.name.equals(that.name) |==> true
545:LVR:FALSE:TRUE:org.jfree.chart.util.LengthAdjustmentType@equals:108:false |==> true
546:LVR:TRUE:FALSE:org.jfree.chart.util.LengthAdjustmentType@equals:110:true |==> false
547:STD:CALL:<NO-OP>:org.jfree.chart.util.LengthAdjustmentType@hashCode:119:this.name.hashCode() |==> 0
548:COR:this.equals(LengthAdjustmentType.NO_CHANGE):TRUE:org.jfree.chart.util.LengthAdjustmentType@readResolve:130:this.equals(LengthAdjustmentType.NO_CHANGE) |==> false
549:COR:this.equals(LengthAdjustmentType.NO_CHANGE):FALSE:org.jfree.chart.util.LengthAdjustmentType@readResolve:130:this.equals(LengthAdjustmentType.NO_CHANGE) |==> true
550:STD:CALL:<NO-OP>:org.jfree.chart.util.LengthAdjustmentType@readResolve:131:LengthAdjustmentType.NO_CHANGE |==> null
551:COR:this.equals(LengthAdjustmentType.EXPAND):TRUE:org.jfree.chart.util.LengthAdjustmentType@readResolve:133:this.equals(LengthAdjustmentType.EXPAND) |==> false
552:COR:this.equals(LengthAdjustmentType.EXPAND):FALSE:org.jfree.chart.util.LengthAdjustmentType@readResolve:133:this.equals(LengthAdjustmentType.EXPAND) |==> true
553:STD:CALL:<NO-OP>:org.jfree.chart.util.LengthAdjustmentType@readResolve:134:LengthAdjustmentType.EXPAND |==> null
554:COR:this.equals(LengthAdjustmentType.CONTRACT):TRUE:org.jfree.chart.util.LengthAdjustmentType@readResolve:136:this.equals(LengthAdjustmentType.CONTRACT) |==> false
555:COR:this.equals(LengthAdjustmentType.CONTRACT):FALSE:org.jfree.chart.util.LengthAdjustmentType@readResolve:136:this.equals(LengthAdjustmentType.CONTRACT) |==> true
556:STD:CALL:<NO-OP>:org.jfree.chart.util.LengthAdjustmentType@readResolve:137:LengthAdjustmentType.CONTRACT |==> null
557:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.event.MarkerChangeEvent@<init>:68:this.marker = marker |==> <NO-OP>
558:STD:CALL:<NO-OP>:org.jfree.chart.event.MarkerChangeEvent@getMarker:79:this.marker |==> null
559:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleAnchor:37:-2457494205644416327L |==> 0L
560:LVR:<CLASS>:<NULL>:org.jfree.chart.util.RectangleAnchor:41:"RectangleAnchor.CENTER" |==> null
561:LVR:<CLASS>:<NULL>:org.jfree.chart.util.RectangleAnchor:45:"RectangleAnchor.TOP" |==> null
562:LVR:<CLASS>:<NULL>:org.jfree.chart.util.RectangleAnchor:49:"RectangleAnchor.TOP_LEFT" |==> null
563:LVR:<CLASS>:<NULL>:org.jfree.chart.util.RectangleAnchor:53:"RectangleAnchor.TOP_RIGHT" |==> null
564:LVR:<CLASS>:<NULL>:org.jfree.chart.util.RectangleAnchor:57:"RectangleAnchor.BOTTOM" |==> null
565:LVR:<CLASS>:<NULL>:org.jfree.chart.util.RectangleAnchor:61:"RectangleAnchor.BOTTOM_LEFT" |==> null
566:LVR:<CLASS>:<NULL>:org.jfree.chart.util.RectangleAnchor:65:"RectangleAnchor.BOTTOM_RIGHT" |==> null
567:LVR:<CLASS>:<NULL>:org.jfree.chart.util.RectangleAnchor:69:"RectangleAnchor.LEFT" |==> null
568:LVR:<CLASS>:<NULL>:org.jfree.chart.util.RectangleAnchor:73:"RectangleAnchor.RIGHT" |==> null
569:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleAnchor@<init>:84:this.name = name |==> <NO-OP>
570:STD:CALL:<NO-OP>:org.jfree.chart.util.RectangleAnchor@toString:93:this.name |==> null
571:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleAnchor@equals:106:this == obj |==> false
572:LVR:TRUE:FALSE:org.jfree.chart.util.RectangleAnchor@equals:107:true |==> false
573:LVR:FALSE:TRUE:org.jfree.chart.util.RectangleAnchor@equals:110:false |==> true
574:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleAnchor@equals:113:(RectangleAnchor)obj |==> null
575:COR:this.name.equals(order.name):TRUE:org.jfree.chart.util.RectangleAnchor@equals:114:this.name.equals(order.name) |==> false
576:COR:this.name.equals(order.name):FALSE:org.jfree.chart.util.RectangleAnchor@equals:114:this.name.equals(order.name) |==> true
577:LVR:FALSE:TRUE:org.jfree.chart.util.RectangleAnchor@equals:115:false |==> true
578:LVR:TRUE:FALSE:org.jfree.chart.util.RectangleAnchor@equals:118:true |==> false
579:STD:CALL:<NO-OP>:org.jfree.chart.util.RectangleAnchor@hashCode:127:this.name.hashCode() |==> 0
580:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleAnchor@coordinates:140:new Point2D.Double() |==> null
581:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleAnchor@coordinates:141:anchor == RectangleAnchor.CENTER |==> false
582:STD:<CALL>:<NO-OP>:org.jfree.chart.util.RectangleAnchor@coordinates:142:result.setLocation(rectangle.getCenterX(), rectangle.getCenterY()) |==> <NO-OP>
583:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleAnchor@coordinates:144:anchor == RectangleAnchor.TOP |==> false
584:STD:<CALL>:<NO-OP>:org.jfree.chart.util.RectangleAnchor@coordinates:145:result.setLocation(rectangle.getCenterX(), rectangle.getMinY()) |==> <NO-OP>
585:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleAnchor@coordinates:147:anchor == RectangleAnchor.BOTTOM |==> false
586:STD:<CALL>:<NO-OP>:org.jfree.chart.util.RectangleAnchor@coordinates:148:result.setLocation(rectangle.getCenterX(), rectangle.getMaxY()) |==> <NO-OP>
587:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleAnchor@coordinates:150:anchor == RectangleAnchor.LEFT |==> false
588:STD:<CALL>:<NO-OP>:org.jfree.chart.util.RectangleAnchor@coordinates:151:result.setLocation(rectangle.getMinX(), rectangle.getCenterY()) |==> <NO-OP>
589:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleAnchor@coordinates:153:anchor == RectangleAnchor.RIGHT |==> false
590:STD:<CALL>:<NO-OP>:org.jfree.chart.util.RectangleAnchor@coordinates:154:result.setLocation(rectangle.getMaxX(), rectangle.getCenterY()) |==> <NO-OP>
591:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleAnchor@coordinates:156:anchor == RectangleAnchor.TOP_LEFT |==> false
592:STD:<CALL>:<NO-OP>:org.jfree.chart.util.RectangleAnchor@coordinates:157:result.setLocation(rectangle.getMinX(), rectangle.getMinY()) |==> <NO-OP>
593:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleAnchor@coordinates:159:anchor == RectangleAnchor.TOP_RIGHT |==> false
594:STD:<CALL>:<NO-OP>:org.jfree.chart.util.RectangleAnchor@coordinates:160:result.setLocation(rectangle.getMaxX(), rectangle.getMinY()) |==> <NO-OP>
595:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleAnchor@coordinates:162:anchor == RectangleAnchor.BOTTOM_LEFT |==> false
596:STD:<CALL>:<NO-OP>:org.jfree.chart.util.RectangleAnchor@coordinates:163:result.setLocation(rectangle.getMinX(), rectangle.getMaxY()) |==> <NO-OP>
597:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleAnchor@coordinates:165:anchor == RectangleAnchor.BOTTOM_RIGHT |==> false
598:STD:<CALL>:<NO-OP>:org.jfree.chart.util.RectangleAnchor@coordinates:166:result.setLocation(rectangle.getMaxX(), rectangle.getMaxY()) |==> <NO-OP>
599:STD:CALL:<NO-OP>:org.jfree.chart.util.RectangleAnchor@coordinates:168:result |==> null
600:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleAnchor@createRectangle:187:dimensions.getWidth() |==> 0.0
